yaw,r,theta,Fn_BEM,Ft_BEM,Fn_SVEN,Ft_SVEN,V_eff_BEM,alpha_BEM,V_eff_SVEN,alpha_SVEN
-15.0,0.235125874557,200.0,4.7486525714471925,2.6489143832919706,6.558210214507722,3.637199584461937,15.162023908952635,60.846154595261815,15.44400164217612,60.987084191565096
-15.0,0.235125874557,210.0,4.8025171255486026,2.76498321443553,6.656920216445236,3.8428760545940737,15.169385125727487,60.06940571334607,15.63558357462852,60.00316364024915
-15.0,0.235125874557,220.0,4.872051832705769,2.924742022948439,6.774086600485703,4.0964716010092,15.17366081401512,59.02318010998054,15.86768373964056,58.8374723475144
-15.0,0.235125874557,230.0,4.956308967866719,3.1261658533229126,6.906467778056133,4.393178971603448,15.174640083751846,57.75853565015609,16.134940249358873,57.539659864621086
-15.0,0.235125874557,240.0,5.053843138337265,3.366219813891865,7.050798049250539,4.727420697272396,15.172195413702468,56.33355539581584,16.43148162907501,56.15888075537772
-15.0,0.235125874557,250.0,5.162590439270332,3.64059974221418,7.199612344203175,5.090727984027571,15.166299814657108,54.80894706343615,16.74652674039257,54.73644831180142
-15.0,0.235125874557,260.0,5.2798131471318,3.943495335162249,7.349139255518107,5.474129450591356,15.157037513654092,53.243926260926976,17.072159357799638,53.31875471425375
-15.0,0.235125874557,270.0,5.402127576200889,4.267433792817525,7.494412502677861,5.865426136943047,15.144607727588475,51.69287744695606,17.397832625870056,51.95180607158575
-15.0,0.235125874557,280.0,5.525615575358715,4.603261470862954,7.62837290749907,6.250888307779548,15.12932243936023,50.2031085006584,17.710858725082005,50.66787075467947
-15.0,0.235125874557,290.0,5.646005262637413,4.940306404307253,7.743263507442697,6.616005293787957,15.111599592106344,48.81377711534399,17.998049340477014,49.48869357712684
-15.0,0.235125874557,300.0,5.758897214295248,5.266739041082076,7.837037253720435,6.9471544017418685,15.091952847624253,47.55585067029645,18.25087298200036,48.444524391103975
-15.0,0.235125874557,310.0,5.860009217542867,5.570118249303738,7.9079604429745345,7.230003566620496,15.070978388522343,46.45282449073986,18.46050070888595,47.56425324362109
-15.0,0.235125874557,320.0,5.945414663631157,5.838081103788486,7.9509530687518835,7.451460722635168,15.049338614262242,45.52188162379208,18.61661447251064,46.857386191754905
-15.0,0.235125874557,330.0,6.01175466127462,6.059113028116947,7.963510861119808,7.60246727133566,15.02774228419564,44.77520914881731,18.7128005846906,46.32866868583257
-15.0,0.235125874557,340.0,6.056410087880023,6.2233222718862695,7.946759247479245,7.676639019738272,15.006920783319847,44.22125543819573,18.746163041278688,45.99048095431023
-15.0,0.235125874557,350.0,6.077625758991865,6.323140172735683,7.901742512680926,7.670428901125427,14.987600650965774,43.86578762394565,18.71503879683701,45.85099255846797
-15.0,0.258134591992,0.0,4.205583462122919,4.72360391567638,5.174758523807456,5.215130888093436,16.37160229020101,41.67974771832845,19.73244136894954,44.77733153867685
-15.0,0.258134591992,10.0,4.192839787363602,4.697055563622648,5.113812008962822,5.110599953210785,16.365976499463475,41.75378436136134,19.57460038834205,45.017966086552526
-15.0,0.258134591992,20.0,4.163262857136042,4.621151816918477,5.042510876849845,4.963002212369642,16.36201667255544,42.01614917129977,19.36423161536668,45.45525636062597
-15.0,0.258134591992,30.0,4.118000763654144,4.499453263288321,4.963759293941701,4.779264354511349,16.359870105115064,42.465450888967645,19.109949569359205,46.084794771787145
-15.0,0.258134591992,40.0,4.058788592549126,4.337560343834449,4.879147385103956,4.567086595884323,16.35961192336457,43.09839017402637,18.820082435125133,46.892070232086624
-15.0,0.258134591992,50.0,3.987867024409148,4.142704578959844,4.791125121172456,4.335105933614657,16.361240037999963,43.90899845981757,18.5050486002654,47.86053775903325
-15.0,0.258134591992,60.0,3.907878055538655,3.923238255783805,4.705644717458418,4.092576272763061,16.364674767727227,44.8876183824979,18.18013439595241,48.98594383863631
-15.0,0.258134591992,70.0,3.82174154987484,3.6880749689043366,4.62301089959973,3.846717178528767,16.36976355708006,46.01969500077357,17.853229268318895,50.236780313266486
-15.0,0.258134591992,80.0,3.7325175778420014,3.4461376003536177,4.542148261826661,3.60504207977857,16.376290746816323,47.28450419418728,17.53092065583836,51.561402213635546
-15.0,0.258134591992,90.0,3.643261382155965,3.2058676672703084,4.475664742873469,3.3767453790012283,16.383991783428282,48.65401624923129,17.23777076227261,52.96656676692022
-15.0,0.258134591992,100.0,3.5568802267014075,2.9748403162140384,4.406972143651555,3.1629927358750365,16.392570616114373,50.09216217773226,16.95562454238306,54.3320098445963
-15.0,0.258134591992,110.0,3.4760038035868788,2.75951342143051,4.345959084742076,2.9707083810731536,16.401718416534546,51.55480864897183,16.703214947030062,55.64513601165108
-15.0,0.258134591992,120.0,3.4028812913855337,2.565119268011619,4.293285270790872,2.804051736339255,16.411131326811823,52.99071933771339,16.485403784196176,56.8503910485216
-15.0,0.258134591992,130.0,3.339317297844321,2.395686428384117,4.251936039159218,2.666567440241073,16.42052489414616,54.34366104591143,16.309338752687868,57.9063960588686
-15.0,0.258134591992,140.0,3.286654768072252,2.25416175249251,4.22482926289818,2.5606524240799664,16.42964334762976,55.55560848494144,16.181023628627887,58.78005491313087
-15.0,0.258134591992,150.0,3.2458054505898777,2.1425917284638034,4.211263538462464,2.4876082531390886,16.43826292218573,56.57076084259224,16.100335147137912,59.4294468178501
-15.0,0.258134591992,160.0,3.217319082731802,2.0623209466538834,4.211300916501757,2.4490488885466326,16.446189812475986,57.33988349016408,16.068265089713503,59.82013893242143
-15.0,0.258134591992,170.0,3.201473698166818,2.0141722474036428,4.225307638192207,2.445735874733659,16.45325462894163,57.82439742021562,16.08549414876602,59.93638749748504
-15.0,0.258134591992,180.0,3.198364252808259,1.9985847724691528,4.253328351654056,2.4778978659377744,16.45930598636847,57.99967823892128,16.151882918324798,59.77578508758312
-15.0,0.258134591992,190.0,3.207967055573662,2.0156977912544867,4.295167310242759,2.545358930800312,16.46420582228619,57.85716215067608,16.266727166128803,59.34854224534903
-15.0,0.258134591992,200.0,3.23016352138342,2.0653762427160185,4.350276334637087,2.64744393832864,16.467828257828778,57.40502970963382,16.428507645936133,58.67654459004943
-15.0,0.258134591992,210.0,3.2647170721233847,2.1471777678705704,4.417776461727328,2.7828328766565824,16.47006258177964,56.66740696890015,16.634754001026668,57.7924230032371
-15.0,0.258134591992,220.0,3.311208976075406,2.260262916076885,4.497993942562853,2.9497600064450364,16.470819683369704,55.68218103971533,16.884173042704685,56.74330964563132
-15.0,0.258134591992,230.0,3.368949495014006,2.403253747940816,4.588242214803569,3.144871091807868,16.470040362006625,54.49768449718636,17.16994963881158,55.57245191937864
-15.0,0.258134591992,240.0,3.436887189142329,2.574053600163796,4.686184047369975,3.364407332740844,16.467703621802805,53.168657210001015,17.48540392377414,54.323809512241496
-15.0,0.258134591992,250.0,3.513539987171129,2.769651788753799,4.785816952205585,3.6024357780894287,16.463833319663134,51.75200941537201,17.817599171132937,53.030022879273744
-15.0,0.258134591992,260.0,3.596966712097932,2.98594806973376,4.884944889374183,3.853047935877684,16.45850218360159,50.302934876309855,18.15863965402528,51.735002148258886
-15.0,0.258134591992,270.0,3.6847889434986,3.217638112231796,4.980309322107999,4.108164200726137,16.451832950448193,48.871828865807096,18.497560872036868,50.48137275876964
-15.0,0.258134591992,280.0,3.7742632075940175,3.4581995623603707,5.066938149536967,4.358732098336159,16.44399691274109,47.50227325500784,18.82093003962998,49.29685441728691
-15.0,0.258134591992,290.0,3.862395201198128,3.700007702083148,5.139359274381882,4.595233265212327,16.4352103761806,46.230123394365705,19.114868545907413,48.199242248220166
-15.0,0.258134591992,300.0,3.946082663520476,3.934592266169545,5.197210108441695,4.809081457581773,16.425729445100686,45.08353990140195,19.37195854272916,47.22126226597503
-15.0,0.258134591992,310.0,4.022271824560169,4.153026411161306,5.240165928393708,4.991247691441148,16.415843321144347,44.08369737149962,19.584197687686466,46.39362727807065
-15.0,0.258134591992,320.0,4.088113303475799,4.34641913771597,5.264553861162147,5.133358003965181,16.405866086215642,43.2458766959438,19.74076886106874,45.722856572745705
-15.0,0.258134591992,330.0,4.141105777735055,4.506466874848297,5.268899096738949,5.229728794905764,16.39612685678243,42.58068454680051,19.83542432620502,45.21373417791472
-15.0,0.258134591992,340.0,4.179218716235245,4.626010455029193,5.254592337822543,5.27647118532219,16.386958275903893,42.09520966896808,19.86599390563854,44.88093079064283
-15.0,0.258134591992,350.0,4.200988341892524,4.699541174501405,5.222525662648829,5.271393946477798,16.378683521442323,41.7939935983437,19.83101468965792,44.73315217457254
