yaw,TSR,r,theta,Fn_BEM_DUM,Ft_BEM_DUM,V_eff_BEM_DUM,alpha_BEM_DUM,Fn_BEM_IFP,Ft_BEM_IFP,V_eff_BEM_IFP,alpha_BEM_IFP,Fn_BEM_P&P,Ft_BEM_P&P,V_eff_BEM_P&P,alpha_BEM_P&P
25.0,6.0,1.363009999412,145.0,369.84102887338605,-30.962223716453032,62.20170287424819,5.474395549065622,355.86275820872345,-27.686898724129122,62.13327316045975,5.1535544802617,354.89901801890994,-27.466745703733956,62.128655180410746,5.131400221452476
25.0,6.0,1.363009999412,150.0,370.6005115282745,-30.582970061163362,62.18987144265254,5.40952046550323,356.700571140622,-27.355778267852422,62.12235228946127,5.093391333724633,357.4265109265682,-27.520593521381393,62.12581275533767,5.10992337383896
25.0,6.0,1.363009999412,155.0,371.2430073763519,-30.25750468017389,62.17974414703435,5.354193957132296,357.5539478849687,-27.103531940419018,62.11367900051157,5.0453009058874265,359.99880902516975,-27.656197905981102,62.12529051488465,5.100530656013721
25.0,6.0,1.363009999412,160.0,371.7683082093699,-29.988092159511087,62.17137888472025,5.308635780192853,358.42298559700646,-26.931933610610134,62.10730258109765,5.009454696065483,362.5946940267399,-27.872575885860375,62.127073020876104,5.103062158429153
25.0,6.0,1.363009999412,165.0,372.17649283537804,-29.776598749541314,62.16482315512945,5.2730224187814,359.305409835093,-26.841531401348952,62.103256962334136,4.985956826745902,365.19018727846867,-28.16805805175954,62.131127116703574,5.117290616246861
25.0,6.0,1.363009999412,170.0,372.46778489399384,-29.62448417610394,62.16011398617158,5.2474890680752155,360.19766267827725,-26.83369802562966,62.10156071719534,4.974846470726813,367.75886914604627,-28.540287299993157,62.137402306634044,5.142927654180546
25.0,6.0,1.363009999412,175.0,372.6424342729385,-29.532795434692265,62.15727787321043,5.232131185757551,361.0937591477726,-26.908881638773128,62.10221710060806,4.976100217423886,370.27231393603677,-28.986224457105692,62.145831298553915,5.17963000457721
25.0,6.0,1.363009999412,180.0,372.7006278789862,-29.502162436073572,62.156330732644555,5.2270056018864945,361.98524432508276,-27.06650157947518,62.10521413501048,4.9896343631641935,372.7006278789862,-29.502162436073572,62.156330732644555,5.2270056018864945
25.0,6.0,1.363009999412,185.0,372.6424342729385,-29.532795434692265,62.15727787321043,5.232131185757551,362.8611472743251,-27.304674085352083,62.1105247491495,5.015307107311481,375.01307269614824,-30.08375041688333,62.1688021129553,5.284619451666579
25.0,6.0,1.363009999412,190.0,372.46778489399384,-29.62448417610394,62.16011398617158,5.2474890680752155,363.70886741439534,-27.621304151665043,62.11810697844327,5.052920624351876,377.1787527954952,-30.726029137125213,62.18313294743742,5.351999162360176
