yaw,r,theta,Fn_BEM,Ft_BEM,Fn_SVEN,Ft_SVEN
-15.0,0.258134591992,270.0,3.6847889434986,3.217638112231796,4.980309322107999,4.108164200726137
-15.0,0.258134591992,280.0,3.7742632075940175,3.4581995623603707,5.066938149536967,4.358732098336159
-15.0,0.258134591992,290.0,3.862395201198128,3.700007702083148,5.139359274381882,4.595233265212327
-15.0,0.258134591992,300.0,3.946082663520476,3.934592266169545,5.197210108441695,4.809081457581773
-15.0,0.258134591992,310.0,4.022271824560169,4.153026411161306,5.240165928393708,4.991247691441148
-15.0,0.258134591992,320.0,4.088113303475799,4.34641913771597,5.264553861162147,5.133358003965181
-15.0,0.258134591992,330.0,4.141105777735055,4.506466874848297,5.268899096738949,5.229728794905764
-15.0,0.258134591992,340.0,4.179218716235245,4.626010455029193,5.254592337822543,5.27647118532219
-15.0,0.258134591992,350.0,4.200988341892524,4.699541174501405,5.222525662648829,5.271393946477798
-15.0,0.28853979201,0.0,6.865750967198595,5.865714705702074,8.708524279100942,6.486236920465943
-15.0,0.28853979201,10.0,6.843886727546913,5.834624015141563,8.607180138756519,6.364954400561117
-15.0,0.28853979201,20.0,6.794384011026435,5.746079113763438,8.4918088770391,6.194987203933927
-15.0,0.28853979201,30.0,6.718915791569088,5.604140683652466,8.366667674225667,5.984690618195458
-15.0,0.28853979201,40.0,6.62038417228592,5.414957745561173,8.232191626372229,5.74251750609703
-15.0,0.28853979201,50.0,6.501729824036994,5.187105523103435,8.091922198891897,5.477007214954027
-15.0,0.28853979201,60.0,6.366009076175147,4.931013009214015,7.958613178156823,5.199940596614858
-15.0,0.28853979201,70.0,6.219654833193991,4.655369761153753,7.829292775043991,4.918789468186758
-15.0,0.28853979201,80.0,6.067497960832768,4.370518340447076,7.699326976204012,4.641283851684887
-15.0,0.28853979201,90.0,5.91282212494113,4.088150413430987,7.590670174052108,4.378648464672822
-15.0,0.28853979201,100.0,5.762064130936541,3.8158542534624216,7.477616530052199,4.131696108990432
-15.0,0.28853979201,110.0,5.619545767089559,3.561634505589374,7.374505775811563,3.908734952192342
-15.0,0.28853979201,120.0,5.48961126381549,3.3317591701305926,7.282793824089228,3.714577752856127
-15.0,0.28853979201,130.0,5.375755274214616,3.1310787695388096,7.209755494450374,3.553972231202388
-15.0,0.28853979201,140.0,5.280578202423604,2.9633356483971505,7.162636651105104,3.4302264609101667
-15.0,0.28853979201,150.0,5.206215763975955,2.8309924628909684,7.138953519882544,3.3449639186695177
-15.0,0.28853979201,160.0,5.153904733700861,2.7357867170280032,7.139002449038958,3.3001586917868124
-15.0,0.28853979201,170.0,5.124520818503432,2.6786886353016177,7.163474396096455,3.296719104161164
-15.0,0.28853979201,180.0,5.118382183351535,2.66029741625589,7.212445470046018,3.3349054446141864
-15.0,0.28853979201,190.0,5.135532950054051,2.6807870693804774,7.285460248403538,3.414501062672226
-15.0,0.28853979201,200.0,5.175734710231955,2.7399787999722567,7.381463544677882,3.534617318449134
-15.0,0.28853979201,210.0,5.238433034311843,2.837282016562731,7.498662959949136,3.693639310448212
-15.0,0.28853979201,220.0,5.322611552741666,2.971652241675619,7.638873106690428,3.8895276450647978
-15.0,0.28853979201,230.0,5.426725474053656,3.141377751118647,7.796201459472975,4.1180772755112445
-15.0,0.28853979201,240.0,5.548584679560201,3.3438040089326284,7.966597347168669,4.374667678191771
-15.0,0.28853979201,250.0,5.684999294769275,3.575322116685739,8.135994322250212,4.65153844733641
-15.0,0.28853979201,260.0,5.832602751442818,3.830757316155234,8.302519293717625,4.94186394393463
-15.0,0.28853979201,270.0,5.986507218565433,4.103902487834497,8.460708602887564,5.236462783023637
-15.0,0.28853979201,280.0,6.142093668599005,4.386697682362191,8.600801799277775,5.524203527555848
-15.0,0.28853979201,290.0,6.2931962540698265,4.671082368236172,8.712084177543224,5.79417150743047
-15.0,0.28853979201,300.0,6.435306310597324,4.946282562829201,8.797403725783889,6.037103012106794
-15.0,0.28853979201,310.0,6.564570815017807,5.2010177859639874,8.858952922062205,6.243216861937504
-15.0,0.28853979201,320.0,6.6745895733833525,5.426675141694667,8.888920015222332,6.4026300038934165
-15.0,0.28853979201,330.0,6.76179026111784,5.613476351972573,8.884966119352839,6.510092234197618
-15.0,0.28853979201,340.0,6.8241015690351325,5.752557801875769,8.851810984718762,6.5610348450036495
-15.0,0.28853979201,350.0,6.859068654252922,5.837953406087366,8.791521260899898,6.552742060432441
-15.0,0.326110072682,0.0,15.251363282394903,7.60059832623212,18.787569531817624,8.212242867418514
-15.0,0.326110072682,10.0,15.19492325449882,7.5618056352900975,18.58864440330836,8.068601646617855
-15.0,0.326110072682,20.0,15.096790100141757,7.454513211485272,18.383432007605908,7.868689196223077
-15.0,0.326110072682,30.0,14.960963865553806,7.282546186963239,18.18016285452109,7.621240090235163
-15.0,0.326110072682,40.0,14.787487677407071,7.054194728593906,17.964981123543435,7.334988932366881
-15.0,0.326110072682,50.0,14.578113457548737,6.779577601277913,17.73622060006526,7.023261793728026
-15.0,0.326110072682,60.0,14.338448442922536,6.468764458792604,17.545499923420916,6.697232488806356
-15.0,0.326110072682,70.0,14.072811811826002,6.1342608690849705,17.363782209001588,6.368787256017542
-15.0,0.326110072682,80.0,13.787007072335312,5.788899498496408,17.157725553451105,6.042068988294098
-15.0,0.326110072682,90.0,13.490401193894533,5.443855260290349,16.98923733546788,5.738852483516144
-15.0,0.326110072682,100.0,13.191753310028568,5.110598318348579,16.802582751168313,5.44398531033589
-15.0,0.326110072682,110.0,12.900741739526506,4.799102044980598,16.62101124705318,5.182491993217865
-15.0,0.326110072682,120.0,12.630142795666126,4.515478754477808,16.444712748859374,4.953342100559579
-15.0,0.326110072682,130.0,12.384026097107684,4.271093299008432,16.30378683747034,4.764115195003623
-15.0,0.326110072682,140.0,12.177076493464002,4.065148100944701,16.227370041164814,4.619468935973232
-15.0,0.326110072682,150.0,12.017814070947384,3.899403362139752,16.198437845483284,4.520650935578336
-15.0,0.326110072682,160.0,11.905270339522144,3.781715165062123,16.216278791645237,4.4695323719161415
-15.0,0.326110072682,170.0,11.844275087455584,3.712434814952562,16.28200114305689,4.467133417618677
-15.0,0.326110072682,180.0,11.838254010228376,3.6908400644082975,16.39513957570642,4.513672259595707
-15.0,0.326110072682,190.0,11.88754631335972,3.7171037463052334,16.554490018294093,4.608880830450693
-15.0,0.326110072682,200.0,11.991546271595205,3.790824192294316,16.757304413302066,4.751635022606318
-15.0,0.326110072682,210.0,12.146623236394849,3.9122708327435767,16.99904036037981,4.939920609997694
-15.0,0.326110072682,220.0,12.346204336916522,4.08220694013299,17.294096827165102,5.172701520251413
-15.0,0.326110072682,230.0,12.588973344159896,4.293908592919695,17.622974077024768,5.444629027590836
-15.0,0.326110072682,240.0,12.870573137796784,4.541273578723062,17.976690684243696,5.747482606725136
-15.0,0.326110072682,250.0,13.171674736313618,4.827916711731651,18.302809424287982,6.080108492353967
-15.0,0.326110072682,260.0,13.48763227743347,5.141709549594071,18.608460287216328,6.421660409187282
-15.0,0.326110072682,270.0,13.803160562130786,5.477254130540178,18.88719002765093,6.764079683650423
