yaw,r,theta,V_eff_BEM,alpha_BEM,V_eff_SVEN,alpha_SVEN
-15.0,0.211940703974,250.0,11.551040434738136,59.04128140389432,15.897185547049691,57.14254321581103
-15.0,0.211940703974,260.0,11.535627507754164,57.4241909107477,16.20439107776696,55.60320605193992
-15.0,0.211940703974,270.0,11.507101547547553,55.78704251493366,16.5135403534656,54.122639808236606
-15.0,0.211940703974,280.0,11.466097507926946,54.17714328310003,16.812603659769675,52.73748817634573
-15.0,0.211940703974,290.0,11.413683336583343,52.63493656805789,17.088966039662008,51.4732703861293
-15.0,0.211940703974,300.0,11.3513406979481,51.19401940044577,17.33349959863813,50.35938035237671
-15.0,0.211940703974,310.0,11.280933700097066,49.88180873616308,17.53697925359835,49.42371831510987
-15.0,0.211940703974,320.0,11.204663221670588,48.72058323830104,17.68945607460557,48.67811528571718
-15.0,0.211940703974,330.0,11.125003993784656,47.72865043168671,17.78434424694706,48.127878672684574
-15.0,0.211940703974,340.0,11.04462286417116,46.92144506911351,17.81835689681566,47.78378981830738
-15.0,0.211940703974,350.0,10.966279097433748,46.312426134506126,17.789713758124893,47.65351533889046
-15.0,0.219688749936,0.0,13.311367803514218,45.16962122348416,17.992983935975968,47.07869975969725
-15.0,0.219688749936,10.0,13.280057285469136,45.16147680223019,17.843456454478947,47.37794113450014
-15.0,0.219688749936,20.0,13.25461161930192,45.37340486662868,17.642390898091193,47.89537086647406
-15.0,0.219688749936,30.0,13.235935642091802,45.80722332068796,17.398357294902837,48.62632866682109
-15.0,0.219688749936,40.0,13.224661011362493,46.46241438719655,17.1205037595758,49.55838662300156
-15.0,0.219688749936,50.0,13.221111414977656,47.33506317578527,16.819590830860236,50.674390002669895
-15.0,0.219688749936,60.0,13.22528641102276,48.41645849637473,16.509346041071485,51.96197268030885
-15.0,0.219688749936,70.0,13.236867081366508,49.69145283366902,16.199213326579752,53.39153646811591
-15.0,0.219688749936,80.0,13.25524485370257,51.13676589132195,15.897321293332803,54.91298593685654
-15.0,0.219688749936,90.0,13.279572197746669,52.71952208397778,15.627259156488428,56.52289204929959
-15.0,0.219688749936,100.0,13.3088305224894,54.396406488687006,15.369965394387956,58.09206674209948
-15.0,0.219688749936,110.0,13.3419069972419,56.11385632884328,15.144030257220477,59.60236111538789
-15.0,0.219688749936,120.0,13.377669209565434,57.809622532129936,14.95323167827867,60.99052678575617
-15.0,0.219688749936,130.0,13.415025887157096,59.41581349368898,14.802053755363666,62.20282268820517
-15.0,0.219688749936,140.0,13.45296437963468,60.86320877737906,14.693694486833968,63.19505671917348
-15.0,0.219688749936,150.0,13.490561178265782,62.0863094366816,14.627521550546822,63.92349837738767
-15.0,0.219688749936,160.0,13.526968944711175,63.02840151948606,14.603344294748965,64.35095745858256
-15.0,0.219688749936,170.0,13.561389831603265,63.64592470201723,14.621145094714883,64.45941363949565
-15.0,0.219688749936,180.0,13.593048015418072,63.91163170502982,14.680697210613104,64.2465813124712
-15.0,0.219688749936,190.0,13.621173366534103,63.81628834985078,14.781661964539552,63.725079397755096
-15.0,0.219688749936,200.0,13.645003752700932,63.36888547087064,14.923345096636163,62.92120557317074
-15.0,0.219688749936,210.0,13.663807412727824,62.59546230999069,15.104529963384982,61.8735638790214
-15.0,0.219688749936,220.0,13.67692115797717,61.53670359388464,15.324409711616832,60.63354218031102
-15.0,0.219688749936,230.0,13.683796407812942,60.24453249224766,15.578463251260349,59.25431822087458
-15.0,0.219688749936,240.0,13.684044017104284,58.77801923944677,15.861418112889744,57.78834167352208
-15.0,0.219688749936,250.0,13.677470423906945,57.19904246629343,16.16361973241125,56.28180705853107
-15.0,0.219688749936,260.0,13.664100942143095,55.568212926557536,16.477331067889697,54.783337736032806
