r,theta,a_BEM,phi_BEM,phi_BEM,a_SVEN,phi_SVEN
0.235125874557,190,0.20900391660395679,41.46429635804594,41.46429635804595,-0.012516439022826065,43.26286828264373
0.235125874557,200,0.2055715075266472,41.72181591268931,41.72181591268931,-0.009127983377346771,43.531206538951814
0.235125874557,210,0.19878625039603048,42.18476192924384,42.184761929243834,-0.006350421469773826,44.00625143641162
0.235125874557,220,0.1887426086594246,42.85058833823434,42.85058833823434,-0.0042944025384759055,44.68448599608567
0.235125874557,230,0.1756143270254643,43.71374791133243,43.71374791133244,-0.003038213133533585,45.558144452017586
0.235125874557,240,0.15966967022651257,44.76449845403952,44.76449845403952,-0.002721267090522561,46.61765064039311
0.235125874557,250,0.14128565400897986,45.98749521139712,45.987495211397125,-0.0033079785750753654,47.843951575855655
0.235125874557,260,0.12095699650678493,47.36032317804635,47.36032317804635,-0.0045587138378822,49.203812374197916
0.235125874557,270,0.09929481661617046,48.85220967071355,48.85220967071355,-0.006325938050990576,50.659371127174694
0.235125874557,280,0.0770105945772882,50.42323769937944,50.423237699379435,-0.00850894658942547,52.16935760330521
0.235125874557,290,0.05488325016661688,52.02441626870002,52.02441626870003,-0.010971766617241752,53.684236036624576
0.235125874557,300,0.03371145950290977,53.59891160653757,53.59891160653758,-0.013534123678314858,55.14683680169265
0.235125874557,310,0.014258470863608208,55.08457855493958,55.084578554939576,-0.016099319851906158,56.49880036988997
0.235125874557,320,-0.0027994902669468136,56.41767396570062,56.417673965700615,-0.018613388101811346,57.68503577245104
0.235125874557,330,-0.01690998391591836,57.53735739329386,57.53735739329386,-0.021146015535352003,58.65761884372156
0.235125874557,340,-0.027659533061679786,58.39038834869784,58.39038834869784,-0.023650300588381024,59.374437204849706
0.235125874557,350,-0.03476809763839395,58.93538523230345,58.935385232303446,-0.026074164428128377,59.80176232834885
0.25813459199124,0,-0.08601825505381244,55.69965376148476,55.699653761484754,-0.04794636485099679,57.06997872874532
0.25813459199124,10,-0.08449489936765153,55.55713767324126,55.557137673241265,-0.05026224822071379,56.90479062404915
0.25813459199124,20,-0.07882933471628029,55.10500523220399,55.10500523220398,-0.05242446177305626,56.46221743095937
0.25813459199124,30,-0.0691980984062659,54.36738249147836,54.36738249147837,-0.05441271216017629,55.76620343730857
0.25813459199124,40,-0.055910776632262404,53.38215656230435,53.38215656230436,-0.05618753709968205,54.85093879732051
0.25813459199124,50,-0.03941474983302817,52.19766001978839,52.197660019788394,-0.0576950112700525,53.75855191027437
0.25813459199124,60,-0.02028869739024919,50.8686327326178,50.868632732617804,-0.058889893908974145,52.5366661199103
0.25813459199124,70,0.0007801741763137082,49.45198493800452,49.451984938004514,-0.05979530744916861,51.23691869481383
0.25813459199124,80,0.02303433481294781,48.00291039895874,48.00291039895874,-0.06030025100719061,49.906210428024394
0.25813459199124,90,0.04569321319082076,46.57180438847198,46.571804388471975,-0.06377719226873246,48.67557035366921
0.25813459199124,100,0.06800049798052854,45.20224877768822,45.202248777688226,-0.06304084838652724,47.394590650171345
0.25813459199124,110,0.08926322155764566,43.93009891706049,43.930098917060484,-0.06152261096396838,46.18868451059291
0.25813459199124,120,0.10887770931248308,42.78351542410959,42.783515424109595,-0.059247193022277544,45.086319567824475
0.25813459199124,130,0.12634146142468683,41.78367289421843,41.78367289421843,-0.056118411573357285,44.10551398432145
0.25813459199124,140,0.14125316372830943,40.94585221867185,40.94585221867186,-0.05220565686008105,43.262551979038385
0.25813459199124,150,0.15330465418175043,40.28066006953588,40.280660069535884,-0.04782316699327627,42.57738626213763
0.25813459199124,160,0.1622689358339673,39.79518519170876,39.795185191708754,-0.043221495620956896,42.06445920224887
